nome,cpf,idade,endereco,bairro,estado
Pedro Azevedo,953.***.***-65,70.0,"vale vieira, 49",comiteco,RS
Sra. Maria Luiza Fogaça,650.***.***-06,69.0,"recanto de moreira, 426",santo agostinho,MT
Eduarda Oliveira,365.***.***-83,60.0,"sítio clarice sales, 99",silveira,PB
Paulo Ramos,490.***.***-43,23.0,sítio azevedo,vila mantiqueira,DF
Beatriz Pires,275.***.***-21,35.0,recanto de castro,centro,MA
Fernando Azevedo,790.***.***-99,30.0,"estação rafael nunes, 90",jardim são josé,RO
Eloah Silva,037.***.***-61,90.0,"viela da rocha, 160",barão homem de melo 2ª seção,BA
Caio Araújo,407.***.***-14,36.0,"morro ribeiro, 11",casa branca,GO
Sra. Valentina Sales,269.***.***-31,86.0,"sítio ramos, 73",cachoeirinha,MG
Melissa Cunha,719.***.***-73,27.0,"ladeira luiza pinto, 9",conjunto minas caixa,MT
Laís Da Paz,139.***.***-33,99.0,"lagoa cavalcanti, 12",vila ecológica,SP
Heitor Silveira,183.***.***-89,91.0,avenida azevedo,santa maria,MA
Fernanda Moraes,064.***.***-44,46.0,"avenida rocha, 13",alta tensão 2ª seção,PI
Alana Souza,801.***.***-42,52.0,"praia moreira, 1",cardoso,SE
Srta. Caroline Da Rosa,192.***.***-98,53.0,"passarela rocha, 96",buraco quente,SP
Stephany Vieira,682.***.***-22,48.0,"travessa guilherme carvalho, 7",jonas veiga,MS
Enzo Barros,794.***.***-16,69.0,"estação fernandes, 85",nova floresta,GO
Caroline Peixoto,036.***.***-30,69.0,"loteamento thales pires, 51",vila união,RR
Maria Vitória Novaes,804.***.***-58,41.0,"via vieira, 26",ouro preto,GO
Bruna Moura,240.***.***-06,96.0,"quadra amanda martins, 4",universo,MG
Maitê Peixoto,501.***.***-58,63.0,"distrito caldeira, 95",serra,PI
Dr. Anthony Barbosa,749.***.***-20,21.0,"distrito de fogaça, 13",pompéia,AP
Alexandre Jesus,269.***.***-34,71.0,"aeroporto de fogaça, 74",vila santa monica 2ª seção,BA
Marcos Vinicius Campos,421.***.***-22,47.0,"trecho de barbosa, 7",são josé,RJ
João Miguel Moura,371.***.***-05,,"praça de costela, 38",renascença,MS
Ana Júlia Cardoso,096.***.***-00,,"praia da mata, 88",vila piratininga venda nova,RJ
Stella Rodrigues,870.***.***-92,,"loteamento maria alice costela, 63",santa maria,ES
Rebeca Da Rosa,640.***.***-22,13.0,trecho da mata,barroca,SC
Henrique Monteiro,378.***.***-73,7.0,"largo theo silva, 91",nossa senhora da conceição,SP
Ana Beatriz Teixeira,243.***.***-17,,"viaduto ferreira, 22",goiania,PE
Luigi Da Rosa,316.***.***-87,7.0,"pátio de rocha, 4",cinquentenário,MG
Melissa Dias,170.***.***-05,12.0,"quadra isabel castro, 40",biquinhas,PI
Beatriz Nunes,483.***.***-44,,"praça das neves, 274",são jorge 3ª seção,SC
Raquel Campos,213.***.***-13,,"estação ana lívia farias, 3",vila santa rosa,GO
Alícia Nascimento,578.***.***-59,,"aeroporto alícia vieira, 84",comiteco,TO
Maria Julia Vieira,495.***.***-67,,"vale oliveira, 15",gameleira,PR
Igor Ramos,695.***.***-77,8.0,"lago de caldeira, 4",beija flor,AC
Alice Cardoso,123.***.***-09,6.0,"viaduto araújo, 76",são bento,PR
Julia Das Neves,201.***.***-32,,"praça maria sophia da cunha, 71",vila batik,PI
Kamilly Rezende,470.***.***-74,,"setor de pires, 39",conjunto jatoba,RO
Breno Freitas,205.***.***-41,18.0,"loteamento de ferreira, 24",nova suíça,PA
Ana Lívia Da Paz,347.***.***-69,20.0,"ladeira gomes, 10",califórnia,RJ
Sr. Daniel Cavalcanti,609.***.***-33,8.0,"núcleo de da paz, 894",sion,GO
Sr. Pedro Cavalcanti,863.***.***-84,3.0,recanto de melo,nossa senhora do rosário,BA
João Melo,053.***.***-20,,"via de santos, 172",jardinópolis,AL
Eloah Viana,694.***.***-22,,"chácara isabella melo, 9",engenho nogueira,PB
Catarina Vieira,631.***.***-28,,"lagoa moraes, 1",fazendinha,GO
Dra. Emanuelly Da Luz,549.***.***-20,,"trevo peixoto, 13",jardim alvorada,RS
Júlia Araújo,324.***.***-14,,"passarela de alves, 45",conjunto celso machado,AL
Enrico Aragão,496.***.***-34,,trevo de porto,jardim leblon,AM
Sr. Bruno Pires,428.***.***-49,,"quadra pinto, 896",nova gameleira,AM
Daniela Freitas,786.***.***-28,,"aeroporto de pires, 59",nossa senhora da conceição,CE
Samuel Caldeira,801.***.***-86,,campo monteiro,cabana do pai tomás,AP
nome inválido,930.***.***-38,40.0,"colônia da rocha, 31",jardim américa,RN
nome inválido,146.***.***-00,95.0,"estrada nogueira, 21",atila de paiva,PB
Renan Da Luz,294.***.***-23,76.0,rua não cadastrada,bairro não cadastrado,PR
Caroline Costa,401.***.***-88,23.0,rua não cadastrada,bairro não cadastrado,RS
Giovanna Farias,241.***.***-35,42.0,rua não cadastrada,bairro não cadastrado,RJ
Maitê Araújo,496.***.***-55,54.0,rua não cadastrada,bairro não cadastrado,RS
Lavínia Da Mota,039.***.***-00,23.0,rua não cadastrada,bairro não cadastrado,ES
Igor Cardoso,345.***.***-05,51.0,rua não cadastrada,bairro não cadastrado,AM
Maria Julia Campos,018.***.***-13,100.0,rua não cadastrada,bairro não cadastrado,MG
Marcos Vinicius Das Neves,617.***.***-02,87.0,rua não cadastrada,bairro não cadastrado,RO
Isabel Barbosa,986.***.***-02,28.0,rua não cadastrada,bairro não cadastrado,MG
Ryan Gomes,861.***.***-60,59.0,rua não cadastrada,bairro não cadastrado,SP
Breno Duarte,463.***.***-98,68.0,rua não cadastrada,bairro não cadastrado,TO
Eloah Peixoto,064.***.***-16,81.0,rua não cadastrada,bairro não cadastrado,MG
Luiza Sales,726.***.***-80,58.0,rua não cadastrada,bairro não cadastrado,GO
Dr. Alexandre Sales,427.***.***-40,90.0,rua não cadastrada,bairro não cadastrado,SP
Alícia Campos,162.***.***-94,50.0,rua não cadastrada,bairro não cadastrado,GO
Luigi Porto,826.***.***-83,45.0,"parque de santos, 88",são joão,PI
